record_id,source_system,source_container,item_path,item_name,item_kind,format,size_bytes,created_at,modified_at,source_id,web_url,sha256,text_sha256,classification_level,classification_label,classification_status,proposed_category,editorial_status,duplicate_of,article_association,inspection_scope,rationale,warnings
zip:2dd26cd67a44:0027,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompt workflow instagram.docx,prompt workflow instagram.docx,file,docx,10094,,2026-05-28T04:03:32,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:f82e5414,,29b6511f66e221054c62fa3610c9962d4d947a1f7e3276546df1e0333e488713,a2148f402c5f3c61f89a875ee2a38f2cc19f83e026b53baff64dc81299eb4d4d,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0028,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Ressalvas.docx,Prompt Ressalvas.docx,file,docx,10372,,2026-03-22T13:43:30,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:c024939d,,7b1670432713e06e813d73385809f5a79ce3c74e1e0a16c0b6b21e47b770d874,80b415036877a317e5144658e403e2493e1a0db75e78e4a07eafd477258e141a,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0029,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Preferências Claude.docx,Preferências Claude.docx,file,docx,8251,,2026-03-27T04:04:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:52a50ad0,,7a57b0df48fffdbd6e1dcf2734f37800fcc822187cd79f4bb2ab6682383cf28a,5a150817c648ff3c7b1fc21da03efa751415066d6d82e54a5e3894792d3e7801,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0030,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,"PROMPT — COMPRESSÃO INFORMACIONAL DE ARTIGOS (ALTA DENSIDADE, SEM PERDA RELEVANTE).docx","PROMPT — COMPRESSÃO INFORMACIONAL DE ARTIGOS (ALTA DENSIDADE, SEM PERDA RELEVANTE).docx",file,docx,9615,,2026-04-01T11:39:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:9a7c31a6,,4f039900d2a97670d9bdeaf53e4f1d24bf67440f07f72e901c0af547ae025adc,129d34dfe8bab4630ddc777dbefd8f46b8b6fa4cf17b52179811a7808cd16014,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0031,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS 1.docx,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS 1.docx,file,docx,19243,,2026-03-22T13:50:30,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:792b30c5,,561047a00293b6d1f7e6d932c1bc6d45c27e4ac6198a143743cd837c503b7995,225340ee1da8631209e3e76dc82c9a98b1c57afd2282e544fb2abce1276e50f4,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0032,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edições da semana/edição semana slide 2.docx,edição semana slide 2.docx,file,docx,9784,,2026-05-26T10:25:38,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:ab3c5c81,,3901813061165d6d82b126e65c6d17e492de42f281fec3f494d6fe1c0602687e,7469923f741f3d1bcc051935058e78e7d6297f7d744f557a7e59e47178daa2cd,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0033,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Meta-Prompt Coringa Teste.docx,Meta-Prompt Coringa Teste.docx,file,docx,7205,,2026-03-27T03:49:56,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:e275889c,,c38c69d6804fa7db6d7c643044496883efca56681126424c75d933e363cf2551,0a8be29008d73b298f44fb6181b2069df9ba8ddc90eb91dceb48190bb42dcd08,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0034,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,PROMPT VERTICALIZAR IMAGEM AO ESTILO REVIEWS.docx,file,docx,9690,,2026-06-02T06:04:52,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:af61b214,,43af041351830c3778668d71938c1a8e5e84041d425f7955d04b284e51fd0626,0de1109a0616ade4f7e183feb650b9d9c6ed0dc3ce38746d6467b1364e6027ef,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0035,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/produto-serviço/slide 5 produto.docx,slide 5 produto.docx,file,docx,9068,,2026-05-27T10:13:16,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:5dea3a9f,,7d70a6e5d535d981dd08e703355869b236d9fc55782e602479968f60eeca319b,d80141f2ccce50e3676d795330ac44cd5429dc9b64c48bb13c862b8dd212aaa3,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0036,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/produto-serviço/slide 1 produto.docx,slide 1 produto.docx,file,docx,8591,,2026-05-27T09:33:02,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:16a10a74,,c2b68ea77f482b41a983b0e43ef49e6d7aaa3939fc1ddf1311b0efdffac7adfe,d3be6975145588a209f3e920f78aad815c2a9300dd9a47bb5f285a94cd8770f2,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0037,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edição do dia/edição do dia slide 2.docx,edição do dia slide 2.docx,file,docx,8645,,2026-05-26T10:25:16,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:9153292f,,9cdb3b19d7545fe35acff05d5fc9aa8ec28e5e8ac0117702dc4abbf5f0ec52e9,0b9822928f26ba34cc661c6d90d26202df24fa4a1373a0d6822fd7d01bb11dc1,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0038,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt População.docx,Prompt População.docx,file,docx,7434,,2026-03-22T13:48:46,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:3ea31f7e,,5331d59bdc8ae6288a064f1bbb23ee6e26926df9d9223963126480b75d89784c,14ceb117d819b472d4e2d3316da3831e02c7c3479e635f00feb8a2763c758e0f,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0039,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/PROMPT APRENDER MD (APLICAR ANTES SEMPRE).docx,PROMPT APRENDER MD (APLICAR ANTES SEMPRE).docx,file,docx,11035,,2026-05-27T08:53:36,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:5c8a5e65,,f8979f6fb1c6303e696493ea8434d5d9f5ea6a8b6462bbc39fe04021b95322b4,c02626f8c7dba4ed17f52a133f5a011752790d26988c50ed6fa21f47bf62c41a,F,excluído,proposed,local-archive-item,unknown,zip:2dd26cd67a44:0014,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Duplicata textual de zip:2dd26cd67a44:0014; mantida apenas para rastreabilidade.,
zip:2dd26cd67a44:0040,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Prompt Antigo Teste.docx,Prompt Antigo Teste.docx,file,docx,799131,,2026-03-27T03:17:20,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:0670ea63,,b9a925fd944b9ec954d673a168de41ffc88a52387d303b9e4ac0969e8cbaa17b,9b4386f199757fc2520c54eebbeecd112b7184a7f52678a17badf7dde9d4b48d,E,legado ou desatualizado,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,"Nome identifica teste, memória de ferramenta ou versão antiga.",
zip:2dd26cd67a44:0041,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/produto-serviço/slide 2 produto.docx,slide 2 produto.docx,file,docx,9436,,2026-05-27T09:34:26,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:168f61ba,,2cfcb03057efc5ecd48d217186fe1b2f24582496a36ab9b3e90a914b6b5da55c,37b214dec0edbb3064e1763dd19a0603df3abcbdfa7e2f63fb8e2ee7cf3c0b97,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0042,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/o que é o reviews/slide 1 o que é reviews.docx,slide 1 o que é reviews.docx,file,docx,9203,,2026-05-27T09:02:40,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:cb1c635a,,8fa62720b5bf43159f7603af9f5ba65c2acb3c53b6fc07322a6ea13d47402499,ebac79b5577f9c8c4655754fbbf522bb542bfa0180bb6e359ef6adcb88814c4b,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0043,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,prompts para imagens instagram/edição do dia/edição do dia slide 1.docx,edição do dia slide 1.docx,file,docx,8788,,2026-05-26T10:25:10,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:7bfd8116,,72c598498769e8983bbd1a676ef31d509d32f07af658cd8ef77708e0ca269056,9d0a9f38ec6cb1d8e777e04f3d1ca917a85ebd6bab23cb3411622a5b3ef1dcbd,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0044,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,Escrita Agrupamento.docx,Escrita Agrupamento.docx,file,docx,181554,,2026-03-22T13:45:08,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:5263c9a0,,9da1ae29b59ea66a99b806a3767ec05e000dbc60ba898963eb2da7a0c1d90f27,3d6428738c10cc883a15f771fe0c369af1d0e8b009aa7073914088831182df2e,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
zip:2dd26cd67a44:0045,local-zip,D:\drive-download-20260722T201201Z-1-001.zip,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS.docx,PROMPT PARA CONTINUIDADE DE REVIEWS CRÍTICAS BASEADAS EM EVIDÊNCIAS.docx,file,docx,13293,,2026-03-22T13:46:04,2dd26cd67a443c09ec101f0ca547830851c818821611259285c1387c40d96587:962497b4,,18046e87b73d2655dc518c8b9cf80b786b595be0b5c12cf7620d4327a9f706ed,5959c81ef2afb60440c5eaecc2ec26be36b816b6c29faaf893eadf7cf9b1db69,D,material de discussão,proposed,local-archive-item,unknown,,unresolved-no-source-article-confirmed,metadata-hash-and-docx-text,Material fornecido para descoberta; influência normativa depende de aprovação humana.,
